Input sentence,YAKE Prediction,TEXT_RANK Prediction,Target Prediction
I love the story line. And I am curious what’s going to happens nex,story line/line/happens nex/love/story,story line,"Good storyline/subject matter,Attention grabbing/holds interest/keeps you wanting to watch more,,,,,"
it's very entertaining,entertaining,,"Witty/humorous/funny/entertaining,,,,,,"
I just love the sci fi aspect. Don't care for regular real life world shows,aspect/sci fi aspect/love/sci/world shows,real life/fi,"Science fiction/fantasy,,,,,,"
It is compelling without being too complex. While sometimes hard to fully understand it is never a dull moment.,compelling without/complex/dull moment/compelling/without,dull moment,"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
It's a complex storyline,complex storyline/storyline/complex,complex,"Complex storyline,,,,,,"
"the cast, features and music",cast/features/music/features and music,cast,"Good cast/actors,Other High quality production values Mentions,Like the music/song,,,,"
i love the role of rancher's daughter.,daughter/rancher/role of rancher/love/role,role,"Other characters mentions,,,,,,"
I like it,like,,"Good/like the show/everything,,,,,,"
"I love this show, it is my Wife's favorite show that we watch together too so it goes a long way! Would recommend adding some more star power because this is a fantastic premise and overall A+ + storylines.",long way/favorite show/watch together/wife/favorite,long way/favorite show/star/fantastic/show,"Witty/humorous/funny/entertaining,Can watch with family/family likes the show,Like the premise/setting/scenery,Good storyline/subject matter,,,"
The whole theme of the show is great,whole theme/great/show is great/whole/theme,whole theme,"Good storyline/subject matter,,,,,,"
It is ominous and mysterious. I like the darkness,mysterious/ominous and mysterious/ominous/darkness/like,ominous,"Other show characteristic mentions,Suspense/Mystery/thrillers,Dark/sarcastic,,,,"
Love the dark future,dark future/love/future/love the dark/dark,dark,"Futuristic,,,,,,"
The story/plot drives me into it the most as I am fantasized by how good it is,plot drives/story/plot/drives/fantasized,plot/story,"Good storyline/subject matter,Science fiction/fantasy,,,,,"
is really great tv show,really great/show/great tv show/really/great,tv,"Good/like the show/everything,,,,,,"
"It really doesn't seem like my thing. If I've watched it, it's because I was watching something else and left it on/waiting for something.",seem like/watching something else/seem/thing/like my thing,,"All negative mentions,,,,,,"
The fact that it's on hbo and is high production. The music is really amazing as well,high production/production/fact/hbo/high,high production/fact,"Aired on HBO,High quality show/high production values,Like the music/song,,,,"
i like the overall story of the show and i like to see what will happen next in the story.,overall story/show/like/story/overall,overall story/story,"Good storyline/subject matter,Attention grabbing/holds interest/keeps you wanting to watch more,,,,,"
"I like that it has a diverse cast and crew, I like how interesting it is, and I like that it is a high quality show.",diverse cast/like/high quality show/crew/cast and crew,diverse cast/quality,"Good cast/actors,Interesting/engaging,High quality show/high production values,,,,"
No iption,iption,,"None/no answer,,,,,,"
It has an interesting narrative,interesting narrative/narrative/interesting,interesting,"Interesting/engaging,,,,,,"
It is a concept never before filmed and produced,concept never/produced/filmed and produced/concept/never,,"Unique/different,,,,,,"
this is very excellent,excellent,,"Good/like the show/everything,,,,,,"
Its the futuristic vibe of the show.,futuristic vibe/show/futuristic/vibe,futuristic,"Futuristic,,,,,,"
The front page of the show it shows robot so I tried it out and the name I like robots and western cilvaltion stuff like cowboys and stuff,shows robot/front page/robot/western cilvaltion stuff/cilvaltion stuff like,western cilvaltion stuff/front page/stuff,"Technological aspects (inclusion of robots, exploring AI, etc.),Western aspect,,,,,"
how big the show is,big/show/big the show,big,"Other show characteristic mentions,,,,,,"
A very good show with a very good history,good history/good show/good/history/show,good,"Good/like the show/everything,Good storyline/subject matter,,,,,"
"that it is a unique series, with science fiction components",science fiction components/unique series/fiction components/science fiction/series,fiction/unique,"Unique/different,Science fiction/fantasy,,,,,"
the twist and turns it has,twist/turns/twist and turns,,"Suspense/Mystery/thrillers,,,,,,"
i enjoyed the acting and the idea of a robot run theme park from watching the original show with yul brynner. i like science fiction overall and the set design and story lines are very good quality and interesting.,robot run theme/run theme park/yul brynner/enjoyed the acting/robot run,run theme/science fiction/yul brynner/original show/story,"Good acting,Technological aspects (inclusion of robots, exploring AI, etc.),Original,Other acting mentions,Science fiction/fantasy,Like the premise/setting/scenery,Good storyline/subject matter"
it's a different type of show I've never seen,never seen/different type/never/seen/different,different,"Unique/different,,,,,,"
I like the futuristic dystopian setting. I always enjoy sci fi movies and shows and this is a good fit. Like man y of HBO's shows it is high quality and makes it interesting to watch each week. I love the idea of living out your fantasy in this future world theme park.,futuristic dystopian setting/dystopian setting/futuristic dystopian/setting/futuristic,world theme/futuristic dystopian/high quality/man y/good fit,"Futuristic,Science fiction/fantasy,Good/like the show/everything,High quality show/high production values,Interesting/engaging,Like the concept/idea of futuristic amusement park,"
it be what it be. I like what it do. I be watching that next season when it comes out too.,next season/like/watching/next/season,next,"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
HAVE ONLY SEEN 1 EPISODE,episode/seen,only,"Have not watched enough to comment/not familiar with the show,,,,,,"
Watched some of season 1. It was pretty good but we just stopped and never went back. Maybe I’ll catch up again sometime but just not something I’m going out of my way for,watched/season/pretty good/good/went back,season,"Have not watched enough to comment/not familiar with the show,,,,,,"
I enjoy everything about the show.,enjoy everything/show/enjoy/everything,,"Good/like the show/everything,,,,,,"
Good to pass the time,good/time/good to pass/pass the time/pass,good,"Other misc. mentions,,,,,,"
The characters are unique. The acting is awesome,unique/characters are unique/characters/awesome/acting,unique/characters,"Appealing characters/I like the characters,Good acting,,,,,"
I just like the plot - and how it is different than regular tv,plot/like the plot/like/different/regular,regular tv,"Like the premise/setting/scenery,Unique/different,,,,,"
It does an amazing job of character development and exploration. The storyline is incredible and thought provoking,amazing job/character development/exploration/development and exploration/thought provoking,amazing job/character,"Like the characters development,Technological aspects (inclusion of robots, exploring AI, etc.),Good storyline/subject matter,Thought provoking,,,"
Futuristic design and development of idealized society and technological innovation,futuristic design/technological innovation/idealized society/futuristic/innovation,futuristic design/technological,"Futuristic,Technological aspects (inclusion of robots, exploring AI, etc.),,,,,"
the ai is so far advanced,far advanced/advanced/far,ai,"Technological aspects (inclusion of robots, exploring AI, etc.),,,,,,"
