Input sentence,YAKE Prediction,YAKE Prediction Cleaned,TEXT_RANK Prediction,TEXT_RANK Prediction cleaned,Target Prediction
I enjoy the entire milieu and feel of the show. Very engaging; always keeps you interested even when confused,entire milieu/show/always keeps/enjoy/entire,entire milieu/show/always keeps/enjoy,entire milieu/feel,entire milieu/feel,"Good/like the show/everything,Interesting/engaging,Attention grabbing/holds interest/keeps you wanting to watch more,,,,"
Nothing. I saw one episode and I did not enjoy ut,nothing/saw one episode/one episode/saw one/episode,nothing/saw one episode,,,"All negative mentions,,,,,,"
I've been watching since the beginning so I wait for the new shows,watching since/beginning/since the beginning/new shows/watching,watching since/since the beginning/new shows,new,new,"Other misc. mentions,,,,,,"
Plot,plot,plot,,,"Good storyline/subject matter,,,,,,"
The way you have to try to piece together the timelines and not knowing who's a host and who isn't.,piece together/way/try/piece/together,piece together/way/try,way,way,"Other misc. mentions,,,,,,"
I think that this show just needs to end.,end/needs to end/think/show/needs,needs to end/think/show,,,"All negative mentions,,,,,,"
The concept of the AI that allows you to have a different experience at the park everytime you go,different experience/park everytime/concept/allows/different,different experience/park everytime/concept/allows,different experience,different experience,"Technological aspects (inclusion of robots, exploring AI, etc.),Unique/different,,,,,"
I like it,like,like,,,"Good/like the show/everything,,,,,,"
sadasdascas,sadasdascas,sadasdascas,,,"None/no answer,,,,,,"
it gets weirder and weirder. Sometimes hard to follow,gets weirder/weirder/gets/sometimes hard/weirder and weirder,gets weirder/sometimes hard/weirder and weirder,weirder,weirder,"All negative mentions,,,,,,"
Not really interested in viewing any more episodes,really interested/episodes/really/interested/viewing,really interested/episodes/viewing,more,more,"All negative mentions,,,,,,"
the nudity and the violence,violence/nudity,violence/nudity,nudity,nudity,"Other storyline/Plot mentions,Violence,,,,,"
Nothing,nothing,nothing,,,"None/no answer,,,,,,"
The futuristic storyline,futuristic storyline/storyline/futuristic,futuristic storyline,futuristic,futuristic,"Futuristic,,,,,,"
The plot twists and characters are so great,plot twists/great/plot/twists/characters,plot twists/great/characters,plot twists,plot twists,"Suspense/Mystery/thrillers,Appealing characters/I like the characters,,,,,"
exciting plots,exciting plots/exciting/plots,exciting plots,exciting,exciting,"Exciting,Like the premise/setting/scenery,,,,,"
no comment,comment,comment,,,"None/no answer,,,,,,"
It’s thought provoking and very engaging,thought provoking/thought/engaging/provoking,thought provoking/engaging,provoking,provoking,"Thought provoking,Interesting/engaging,,,,,"
yes good show,yes good show/yes good/good show/yes/show,yes good show,good,good,"Good/like the show/everything,,,,,,"
Don't know,know,know,,,"Don't know,,,,,,"
"The concept of AI to the degree portrayed in the show is intriguing. Beyond that, I'm finding that I don't really care about the characters (human or host) because they have so few redeeming qualities.",degree portrayed/intriguing/really care/redeeming qualities/show is intriguing,degree portrayed/really care/redeeming qualities/show is intriguing,intriguing/show/degree/ai/concept,intriguing/show/degree/ai/concept,"Technological aspects (inclusion of robots, exploring AI, etc.),,,,,,"
actors,actors,actors,,,"Good cast/actors,,,,,,"
"Season one was great. Season two went downhill for me. With so many other great shows, I stopped watching it.",season one/season/season two went/season two/one,season one/season two went,other great/great,other great,"Good experience/liked the previous seasons,,,,,,"
"Managing the push, pull and desires of game players . Seeing each character evolve and their strengths and weaknesses . Seeing humans devalued and tech valued more",game players/managing/push/pull/players,game players/managing/push/pull,game players/character/desires/push,game players/character/desires/push,"Other misc. mentions,Appealing characters/I like the characters,Technology involvement/overpowering human life,,,,"
It's far beyond anything I could imagine on my own,far beyond anything/far beyond/beyond anything/could imagine/far,far beyond anything/could imagine,,,"Unique/different,,,,,,"
"not normal world, intriguing way of looking at life",normal world/intriguing way/world/intriguing/life,normal world/intriguing way/life,normal world,normal world,"Science fiction/fantasy,Interesting/engaging,,,,,"
the show itself is amazing! I want a lot of people to join in and watch with me via zoom!,amazing/show/via zoom/zoom/want,amazing/show/via zoom/want,amazing/show,amazing/show,"Good/like the show/everything,Other misc. mentions,,,,,"
I like sci fi shows that are somewhat possible to happen in the future.,like sci/somewhat possible/future/like/sci,like sci/somewhat possible/future,sci fi,sci fi,"Science fiction/fantasy,,,,,,"
"is modern, technological and entertained",modern/technological/entertained/technological and entertained,modern/technological and entertained,modern,modern,"Creative/innovative/modern,Technological aspects (inclusion of robots, exploring AI, etc.),Witty/humorous/funny/entertaining,,,,"
i love the setting!,setting/love the setting/love,love the setting,,,"Like the premise/setting/scenery,,,,,,"
la trama algo confusa pero muy interesante,trama/algo confusa/muy interesante/algo/interesante,trama/algo confusa/muy interesante,muy/trama/algo,muy/trama/algo,"Interesting/engaging,,,,,,"
It is new and different,different/new and different/new,new and different,new,new,"Unique/different,,,,,,"
Very good service and likely promotion 10 points,good service/likely promotion/points/promotion 10 points/good,good service/likely promotion/promotion 10 points,good service,good service,"Good/like the show/everything,,,,,,"
The concept is so different than anything else,anything else/else/concept/different/anything,anything else/concept/different,concept,concept,"Unique/different,,,,,,"
I just love the idea of a theme park with robots where you can literally do anything. I also love all the plot twists.,theme park/anything/love/literally do anything/also love,theme park/literally do anything/also love,theme park/plot,theme park/plot,"Like the concept/idea of futuristic amusement park,Technological aspects (inclusion of robots, exploring AI, etc.),Suspense/Mystery/thrillers,,,,"
alot of my friends like to watch it,friends like/alot/friends/like/watch,friends like/alot/watch,alot,alot,"Heard good review/recommendations by family/friends,,,,,,"
good,good,good,,,"Good/like the show/everything,,,,,,"
